Gap Start,Gap End,Gap (min),Category
2020-03-09 05:49,2020-03-09 05:54,5,Minor (2-5 min)
2020-03-09 05:54,2020-03-09 05:58,4,Minor (2-5 min)
2020-03-09 05:58,2020-03-09 06:00,2,Minor (2-5 min)
2020-03-09 06:00,2020-03-09 06:03,3,Minor (2-5 min)
2020-03-09 06:04,2020-03-09 06:06,2,Minor (2-5 min)
2020-03-09 06:06,2020-03-09 06:10,4,Minor (2-5 min)
2020-03-09 06:10,2020-03-09 06:14,4,Minor (2-5 min)
2020-03-09 06:14,2020-03-09 06:16,2,Minor (2-5 min)
2020-03-09 06:17,2020-03-09 06:22,5,Minor (2-5 min)
2020-03-09 06:22,2020-03-09 06:24,2,Minor (2-5 min)
2020-03-09 06:25,2020-03-09 06:27,2,Minor (2-5 min)
2020-03-09 06:27,2020-03-09 06:29,2,Minor (2-5 min)
2020-03-09 06:29,2020-03-09 06:31,2,Minor (2-5 min)
2020-03-09 06:32,2020-03-09 06:35,3,Minor (2-5 min)
2020-03-09 06:35,2020-03-09 06:37,2,Minor (2-5 min)
2020-03-09 06:37,2020-03-09 06:41,4,Minor (2-5 min)
2020-03-09 06:42,2020-03-09 06:49,7,Significant
2020-03-09 06:49,2020-03-09 06:57,8,Significant
2020-03-09 07:00,2020-03-09 07:09,9,Significant
2020-03-09 07:09,2020-03-09 07:12,3,Minor (2-5 min)
2020-03-09 07:12,2020-03-09 07:20,8,Significant
2020-03-09 07:20,2020-03-09 07:22,2,Minor (2-5 min)
2020-03-09 07:23,2020-03-09 07:25,2,Minor (2-5 min)
2020-03-09 07:26,2020-03-09 07:30,4,Minor (2-5 min)
2020-03-09 07:30,2020-03-09 07:35,5,Minor (2-5 min)
2020-03-09 07:35,2020-03-09 07:38,3,Minor (2-5 min)
2020-03-09 07:40,2020-03-09 07:45,5,Minor (2-5 min)
2020-03-09 07:45,2020-03-09 07:48,3,Minor (2-5 min)
2020-03-09 07:48,2020-03-09 07:50,2,Minor (2-5 min)
2020-03-09 07:50,2020-03-09 07:52,2,Minor (2-5 min)
2020-03-09 07:53,2020-03-09 07:55,2,Minor (2-5 min)
2020-03-09 07:56,2020-03-09 07:58,2,Minor (2-5 min)
2020-03-09 07:58,2020-03-09 08:00,2,Minor (2-5 min)
2020-03-09 08:00,2020-03-09 08:02,2,Minor (2-5 min)
2020-03-09 08:02,2020-03-09 08:05,3,Minor (2-5 min)
2020-03-09 08:05,2020-03-09 08:07,2,Minor (2-5 min)
2020-03-09 08:07,2020-03-09 08:10,3,Minor (2-5 min)
2020-03-09 08:12,2020-03-09 08:14,2,Minor (2-5 min)
2020-03-09 08:17,2020-03-09 08:20,3,Minor (2-5 min)
2020-03-09 08:21,2020-03-09 08:23,2,Minor (2-5 min)
2020-03-09 08:23,2020-03-09 08:30,7,Significant
2020-03-09 08:32,2020-03-09 08:34,2,Minor (2-5 min)
2020-03-09 08:35,2020-03-09 08:49,14,Significant
2020-03-09 15:14,2020-03-09 15:30,16,Settlement Window
2020-03-09 15:59,2020-03-09 17:00,61,Daily Maintenance
2020-03-10 15:14,2020-03-10 15:30,16,Settlement Window
2020-03-10 15:59,2020-03-10 17:00,61,Daily Maintenance
2020-03-11 15:14,2020-03-11 15:30,16,Settlement Window
2020-03-11 15:59,2020-03-11 17:00,61,Daily Maintenance
2020-03-12 07:01,2020-03-12 07:03,2,Minor (2-5 min)
2020-03-12 07:06,2020-03-12 07:09,3,Minor (2-5 min)
2020-03-12 07:09,2020-03-12 07:12,3,Minor (2-5 min)
2020-03-12 07:13,2020-03-12 07:15,2,Minor (2-5 min)
2020-03-12 07:17,2020-03-12 07:20,3,Minor (2-5 min)
2020-03-12 07:23,2020-03-12 07:25,2,Minor (2-5 min)
2020-03-12 07:26,2020-03-12 07:28,2,Minor (2-5 min)
2020-03-12 07:31,2020-03-12 07:33,2,Minor (2-5 min)
2020-03-12 07:34,2020-03-12 07:36,2,Minor (2-5 min)
2020-03-12 07:45,2020-03-12 07:47,2,Minor (2-5 min)
2020-03-12 07:48,2020-03-12 07:51,3,Minor (2-5 min)
2020-03-12 07:51,2020-03-12 07:53,2,Minor (2-5 min)
2020-03-12 07:53,2020-03-12 07:56,3,Minor (2-5 min)
2020-03-12 07:56,2020-03-12 07:58,2,Minor (2-5 min)
2020-03-12 07:58,2020-03-12 08:01,3,Minor (2-5 min)
2020-03-12 08:01,2020-03-12 08:04,3,Minor (2-5 min)
2020-03-12 08:04,2020-03-12 08:06,2,Minor (2-5 min)
2020-03-12 08:09,2020-03-12 08:15,6,Significant
2020-03-12 08:17,2020-03-12 08:19,2,Minor (2-5 min)
2020-03-12 08:21,2020-03-12 08:24,3,Minor (2-5 min)
2020-03-12 08:24,2020-03-12 08:30,6,Significant
2020-03-12 08:36,2020-03-12 08:50,14,Significant
2020-03-12 15:14,2020-03-12 15:30,16,Settlement Window
2020-03-12 15:59,2020-03-12 17:00,61,Daily Maintenance
2020-03-13 06:32,2020-03-13 06:34,2,Minor (2-5 min)
2020-03-13 06:34,2020-03-13 06:36,2,Minor (2-5 min)
2020-03-13 06:44,2020-03-13 06:47,3,Minor (2-5 min)
2020-03-13 06:47,2020-03-13 06:49,2,Minor (2-5 min)
2020-03-13 06:49,2020-03-13 06:51,2,Minor (2-5 min)
2020-03-13 06:52,2020-03-13 06:59,7,Significant
2020-03-13 06:59,2020-03-13 07:03,4,Minor (2-5 min)
2020-03-13 07:03,2020-03-13 07:05,2,Minor (2-5 min)
2020-03-13 07:09,2020-03-13 07:11,2,Minor (2-5 min)
2020-03-13 07:11,2020-03-13 07:14,3,Minor (2-5 min)
2020-03-13 07:15,2020-03-13 07:17,2,Minor (2-5 min)
2020-03-13 07:17,2020-03-13 07:19,2,Minor (2-5 min)
2020-03-13 07:19,2020-03-13 07:21,2,Minor (2-5 min)
2020-03-13 07:21,2020-03-13 07:23,2,Minor (2-5 min)
2020-03-13 07:23,2020-03-13 07:26,3,Minor (2-5 min)
2020-03-13 07:26,2020-03-13 07:32,6,Significant
2020-03-13 07:32,2020-03-13 07:34,2,Minor (2-5 min)
2020-03-13 07:34,2020-03-13 07:36,2,Minor (2-5 min)
2020-03-13 07:37,2020-03-13 07:42,5,Minor (2-5 min)
2020-03-13 07:45,2020-03-13 07:48,3,Minor (2-5 min)
2020-03-13 07:50,2020-03-13 07:52,2,Minor (2-5 min)
2020-03-13 07:52,2020-03-13 07:57,5,Minor (2-5 min)
2020-03-13 07:58,2020-03-13 08:02,4,Minor (2-5 min)
2020-03-13 08:08,2020-03-13 08:12,4,Minor (2-5 min)
2020-03-13 08:14,2020-03-13 08:17,3,Minor (2-5 min)
2020-03-13 08:17,2020-03-13 08:20,3,Minor (2-5 min)
2020-03-13 08:22,2020-03-13 08:24,2,Minor (2-5 min)
2020-03-13 08:24,2020-03-13 08:30,6,Significant
2020-03-13 15:14,2020-03-13 15:30,16,Settlement Window
2020-03-13 15:59,2020-03-15 17:00,2941,Weekend / Holiday
2020-03-15 17:26,2020-03-15 17:28,2,Minor (2-5 min)
2020-03-15 17:28,2020-03-15 17:30,2,Minor (2-5 min)
2020-03-15 17:37,2020-03-15 17:41,4,Minor (2-5 min)
2020-03-15 17:41,2020-03-15 17:45,4,Minor (2-5 min)
2020-03-15 17:45,2020-03-15 17:47,2,Minor (2-5 min)
2020-03-15 17:50,2020-03-15 17:52,2,Minor (2-5 min)
2020-03-15 17:52,2020-03-15 17:54,2,Minor (2-5 min)
2020-03-15 17:55,2020-03-15 17:58,3,Minor (2-5 min)
2020-03-15 17:59,2020-03-15 18:01,2,Minor (2-5 min)
2020-03-15 18:01,2020-03-15 18:05,4,Minor (2-5 min)
2020-03-15 18:05,2020-03-15 18:07,2,Minor (2-5 min)
2020-03-15 18:07,2020-03-15 18:09,2,Minor (2-5 min)
2020-03-15 18:09,2020-03-15 18:15,6,Significant
2020-03-15 18:15,2020-03-15 18:19,4,Minor (2-5 min)
2020-03-15 18:19,2020-03-15 18:24,5,Minor (2-5 min)
2020-03-15 18:24,2020-03-15 18:29,5,Minor (2-5 min)
2020-03-15 18:29,2020-03-15 18:31,2,Minor (2-5 min)
2020-03-15 18:31,2020-03-15 18:40,9,Significant
2020-03-15 18:40,2020-03-15 18:46,6,Significant
2020-03-15 18:46,2020-03-15 18:56,10,Significant
2020-03-15 18:56,2020-03-15 18:58,2,Minor (2-5 min)
2020-03-15 18:58,2020-03-15 19:01,3,Minor (2-5 min)
2020-03-15 19:01,2020-03-15 19:07,6,Significant
2020-03-15 19:07,2020-03-15 19:20,13,Significant
2020-03-15 19:20,2020-03-15 19:34,14,Significant
2020-03-15 19:34,2020-03-15 19:48,14,Significant
2020-03-15 19:48,2020-03-15 19:54,6,Significant
2020-03-15 19:54,2020-03-15 20:00,6,Significant
2020-03-15 20:00,2020-03-15 20:03,3,Minor (2-5 min)
2020-03-15 20:04,2020-03-15 20:06,2,Minor (2-5 min)
2020-03-15 20:06,2020-03-15 20:10,4,Minor (2-5 min)
2020-03-15 20:10,2020-03-15 20:12,2,Minor (2-5 min)
2020-03-15 20:14,2020-03-15 20:18,4,Minor (2-5 min)
2020-03-15 20:19,2020-03-15 20:23,4,Minor (2-5 min)
2020-03-15 20:23,2020-03-15 20:26,3,Minor (2-5 min)
2020-03-15 20:28,2020-03-15 20:34,6,Significant
2020-03-15 20:36,2020-03-15 20:39,3,Minor (2-5 min)
2020-03-15 20:39,2020-03-15 20:44,5,Minor (2-5 min)
2020-03-15 20:44,2020-03-15 20:47,3,Minor (2-5 min)
2020-03-15 20:47,2020-03-15 20:54,7,Significant
2020-03-15 20:54,2020-03-15 20:59,5,Minor (2-5 min)
2020-03-15 20:59,2020-03-15 21:01,2,Minor (2-5 min)
2020-03-15 21:01,2020-03-15 21:29,28,Significant
2020-03-15 21:30,2020-03-15 21:41,11,Significant
2020-03-15 21:45,2020-03-15 21:47,2,Minor (2-5 min)
2020-03-15 21:49,2020-03-15 21:51,2,Minor (2-5 min)
2020-03-15 21:54,2020-03-15 21:57,3,Minor (2-5 min)
2020-03-15 21:59,2020-03-15 22:06,7,Significant
2020-03-15 22:08,2020-03-15 22:55,47,Significant
2020-03-15 22:55,2020-03-15 23:01,6,Significant
2020-03-15 23:01,2020-03-15 23:29,28,Significant
2020-03-15 23:29,2020-03-15 23:43,14,Significant
2020-03-15 23:43,2020-03-15 23:59,16,Settlement Window
2020-03-15 23:59,2020-03-16 00:08,9,Significant
2020-03-16 00:08,2020-03-16 00:42,34,Significant
2020-03-16 00:42,2020-03-16 01:31,49,Significant
2020-03-16 01:31,2020-03-16 01:44,13,Significant
2020-03-16 01:44,2020-03-16 02:41,57,Daily Maintenance
2020-03-16 02:41,2020-03-16 02:43,2,Minor (2-5 min)
2020-03-16 02:43,2020-03-16 02:53,10,Significant
2020-03-16 02:53,2020-03-16 03:23,30,Significant
2020-03-16 03:23,2020-03-16 03:38,15,Settlement Window
2020-03-16 03:38,2020-03-16 03:48,10,Significant
2020-03-16 03:48,2020-03-16 03:55,7,Significant
2020-03-16 03:55,2020-03-16 04:01,6,Significant
2020-03-16 04:01,2020-03-16 04:11,10,Significant
2020-03-16 04:11,2020-03-16 05:57,106,Significant
2020-03-16 05:57,2020-03-16 06:20,23,Significant
2020-03-16 06:20,2020-03-16 06:53,33,Significant
2020-03-16 06:53,2020-03-16 06:56,3,Minor (2-5 min)
2020-03-16 06:56,2020-03-16 07:02,6,Significant
2020-03-16 07:02,2020-03-16 07:27,25,Significant
2020-03-16 07:28,2020-03-16 07:39,11,Significant
2020-03-16 07:39,2020-03-16 07:46,7,Significant
2020-03-16 07:46,2020-03-16 07:48,2,Minor (2-5 min)
2020-03-16 07:48,2020-03-16 08:05,17,Settlement Window
2020-03-16 08:05,2020-03-16 08:21,16,Settlement Window
2020-03-16 08:22,2020-03-16 08:30,8,Significant
2020-03-16 08:30,2020-03-16 08:45,15,Settlement Window
2020-03-16 15:14,2020-03-16 15:30,16,Settlement Window
2020-03-16 15:59,2020-03-16 17:00,61,Daily Maintenance
2020-03-16 20:13,2020-03-16 20:15,2,Minor (2-5 min)
2020-03-16 20:21,2020-03-16 20:25,4,Minor (2-5 min)
2020-03-16 20:28,2020-03-16 20:30,2,Minor (2-5 min)
2020-03-16 20:30,2020-03-16 20:38,8,Significant
2020-03-16 20:38,2020-03-16 20:42,4,Minor (2-5 min)
2020-03-16 20:42,2020-03-16 20:44,2,Minor (2-5 min)
2020-03-16 20:46,2020-03-16 20:48,2,Minor (2-5 min)
2020-03-16 20:48,2020-03-16 20:50,2,Minor (2-5 min)
2020-03-16 20:55,2020-03-16 20:57,2,Minor (2-5 min)
2020-03-16 20:58,2020-03-16 21:06,8,Significant
2020-03-16 21:32,2020-03-16 21:34,2,Minor (2-5 min)
2020-03-16 21:34,2020-03-16 21:37,3,Minor (2-5 min)
2020-03-16 21:38,2020-03-16 21:46,8,Significant
2020-03-16 21:46,2020-03-16 21:48,2,Minor (2-5 min)
2020-03-16 21:50,2020-03-16 21:54,4,Minor (2-5 min)
2020-03-16 21:54,2020-03-16 21:56,2,Minor (2-5 min)
2020-03-16 21:57,2020-03-16 22:00,3,Minor (2-5 min)
2020-03-16 22:01,2020-03-16 22:04,3,Minor (2-5 min)
2020-03-16 22:04,2020-03-16 22:10,6,Significant
2020-03-16 22:10,2020-03-16 22:12,2,Minor (2-5 min)
2020-03-16 22:16,2020-03-16 22:20,4,Minor (2-5 min)
2020-03-16 22:22,2020-03-16 22:26,4,Minor (2-5 min)
2020-03-16 22:28,2020-03-16 22:37,9,Significant
2020-03-16 22:37,2020-03-16 22:42,5,Minor (2-5 min)
2020-03-16 22:42,2020-03-16 22:45,3,Minor (2-5 min)
2020-03-16 22:45,2020-03-16 22:51,6,Significant
2020-03-16 22:51,2020-03-16 23:16,25,Significant
2020-03-16 23:16,2020-03-16 23:27,11,Significant
2020-03-16 23:28,2020-03-16 23:34,6,Significant
2020-03-16 23:34,2020-03-16 23:39,5,Minor (2-5 min)
2020-03-16 23:39,2020-03-16 23:45,6,Significant
2020-03-16 23:45,2020-03-17 00:12,27,Significant
2020-03-17 00:12,2020-03-17 00:19,7,Significant
2020-03-17 00:19,2020-03-17 00:24,5,Minor (2-5 min)
2020-03-17 00:27,2020-03-17 00:31,4,Minor (2-5 min)
2020-03-17 00:39,2020-03-17 00:42,3,Minor (2-5 min)
2020-03-17 00:42,2020-03-17 00:50,8,Significant
2020-03-17 00:52,2020-03-17 00:55,3,Minor (2-5 min)
2020-03-17 00:55,2020-03-17 01:02,7,Significant
2020-03-17 01:03,2020-03-17 01:05,2,Minor (2-5 min)
2020-03-17 01:05,2020-03-17 01:07,2,Minor (2-5 min)
2020-03-17 01:07,2020-03-17 01:10,3,Minor (2-5 min)
2020-03-17 01:10,2020-03-17 01:20,10,Significant
2020-03-17 01:20,2020-03-17 01:24,4,Minor (2-5 min)
2020-03-17 01:24,2020-03-17 01:32,8,Significant
2020-03-17 01:32,2020-03-17 01:38,6,Significant
2020-03-17 01:38,2020-03-17 01:40,2,Minor (2-5 min)
2020-03-17 01:40,2020-03-17 01:46,6,Significant
2020-03-17 01:47,2020-03-17 02:08,21,Significant
2020-03-17 02:08,2020-03-17 02:12,4,Minor (2-5 min)
2020-03-17 02:12,2020-03-17 02:18,6,Significant
2020-03-17 02:18,2020-03-17 02:23,5,Minor (2-5 min)
2020-03-17 02:23,2020-03-17 02:30,7,Significant
2020-03-17 02:31,2020-03-17 02:55,24,Significant
2020-03-17 02:55,2020-03-17 03:01,6,Significant
2020-03-17 03:01,2020-03-17 03:11,10,Significant
2020-03-17 03:11,2020-03-17 03:17,6,Significant
2020-03-17 03:17,2020-03-17 03:22,5,Minor (2-5 min)
2020-03-17 03:31,2020-03-17 03:33,2,Minor (2-5 min)
2020-03-17 03:35,2020-03-17 03:37,2,Minor (2-5 min)
2020-03-17 15:14,2020-03-17 15:30,16,Settlement Window
2020-03-17 15:59,2020-03-17 17:00,61,Daily Maintenance
2020-03-18 00:26,2020-03-18 00:30,4,Minor (2-5 min)
2020-03-18 00:31,2020-03-18 00:40,9,Significant
2020-03-18 00:40,2020-03-18 00:43,3,Minor (2-5 min)
2020-03-18 00:43,2020-03-18 00:45,2,Minor (2-5 min)
2020-03-18 00:45,2020-03-18 00:47,2,Minor (2-5 min)
2020-03-18 00:49,2020-03-18 00:58,9,Significant
2020-03-18 00:58,2020-03-18 01:01,3,Minor (2-5 min)
2020-03-18 01:01,2020-03-18 01:05,4,Minor (2-5 min)
2020-03-18 01:05,2020-03-18 01:08,3,Minor (2-5 min)
2020-03-18 01:08,2020-03-18 01:10,2,Minor (2-5 min)
2020-03-18 01:10,2020-03-18 01:16,6,Significant
2020-03-18 01:16,2020-03-18 01:28,12,Significant
2020-03-18 01:28,2020-03-18 01:30,2,Minor (2-5 min)
2020-03-18 01:31,2020-03-18 01:49,18,Settlement Window
2020-03-18 01:49,2020-03-18 01:53,4,Minor (2-5 min)
2020-03-18 01:53,2020-03-18 01:57,4,Minor (2-5 min)
2020-03-18 01:57,2020-03-18 01:59,2,Minor (2-5 min)
2020-03-18 01:59,2020-03-18 02:02,3,Minor (2-5 min)
2020-03-18 02:04,2020-03-18 02:07,3,Minor (2-5 min)
2020-03-18 02:07,2020-03-18 02:09,2,Minor (2-5 min)
2020-03-18 02:12,2020-03-18 02:14,2,Minor (2-5 min)
2020-03-18 02:14,2020-03-18 02:21,7,Significant
2020-03-18 02:21,2020-03-18 02:28,7,Significant
2020-03-18 02:28,2020-03-18 02:32,4,Minor (2-5 min)
2020-03-18 02:32,2020-03-18 02:34,2,Minor (2-5 min)
2020-03-18 02:34,2020-03-18 02:39,5,Minor (2-5 min)
2020-03-18 02:39,2020-03-18 03:00,21,Significant
2020-03-18 03:00,2020-03-18 03:02,2,Minor (2-5 min)
2020-03-18 03:02,2020-03-18 03:04,2,Minor (2-5 min)
2020-03-18 03:05,2020-03-18 03:07,2,Minor (2-5 min)
2020-03-18 03:07,2020-03-18 03:10,3,Minor (2-5 min)
2020-03-18 03:10,2020-03-18 03:16,6,Significant
2020-03-18 03:16,2020-03-18 03:23,7,Significant
2020-03-18 03:24,2020-03-18 03:27,3,Minor (2-5 min)
2020-03-18 03:27,2020-03-18 03:32,5,Minor (2-5 min)
2020-03-18 03:32,2020-03-18 03:36,4,Minor (2-5 min)
2020-03-18 03:36,2020-03-18 03:40,4,Minor (2-5 min)
2020-03-18 03:40,2020-03-18 03:42,2,Minor (2-5 min)
2020-03-18 03:42,2020-03-18 03:44,2,Minor (2-5 min)
2020-03-18 03:46,2020-03-18 03:48,2,Minor (2-5 min)
2020-03-18 03:50,2020-03-18 03:54,4,Minor (2-5 min)
2020-03-18 03:54,2020-03-18 03:57,3,Minor (2-5 min)
2020-03-18 03:57,2020-03-18 04:00,3,Minor (2-5 min)
2020-03-18 04:00,2020-03-18 04:18,18,Settlement Window
2020-03-18 04:19,2020-03-18 04:31,12,Significant
2020-03-18 04:31,2020-03-18 04:38,7,Significant
2020-03-18 04:38,2020-03-18 04:48,10,Significant
2020-03-18 04:48,2020-03-18 05:14,26,Significant
2020-03-18 05:14,2020-03-18 05:28,14,Significant
2020-03-18 05:29,2020-03-18 05:34,5,Minor (2-5 min)
2020-03-18 05:34,2020-03-18 05:52,18,Settlement Window
2020-03-18 05:53,2020-03-18 05:56,3,Minor (2-5 min)
2020-03-18 05:56,2020-03-18 06:19,23,Significant
2020-03-18 06:20,2020-03-18 06:26,6,Significant
2020-03-18 06:26,2020-03-18 06:29,3,Minor (2-5 min)
2020-03-18 06:29,2020-03-18 06:32,3,Minor (2-5 min)
2020-03-18 06:33,2020-03-18 06:51,18,Settlement Window
2020-03-18 06:51,2020-03-18 07:00,9,Significant
2020-03-18 07:00,2020-03-18 07:13,13,Significant
2020-03-18 07:14,2020-03-18 07:28,14,Significant
2020-03-18 07:28,2020-03-18 07:30,2,Minor (2-5 min)
2020-03-18 07:30,2020-03-18 07:59,29,Significant
2020-03-18 08:00,2020-03-18 08:03,3,Minor (2-5 min)
2020-03-18 08:03,2020-03-18 08:06,3,Minor (2-5 min)
2020-03-18 08:06,2020-03-18 08:30,24,Significant
2020-03-18 11:57,2020-03-18 12:11,14,Significant
2020-03-18 15:14,2020-03-18 15:30,16,Settlement Window
2020-03-18 15:59,2020-03-18 17:00,61,Daily Maintenance
2020-03-19 15:14,2020-03-19 15:30,16,Settlement Window
2020-03-19 15:59,2020-03-19 17:00,61,Daily Maintenance
2020-03-20 04:05,2020-03-20 04:07,2,Minor (2-5 min)
2020-03-20 04:25,2020-03-20 04:27,2,Minor (2-5 min)
2020-03-20 04:32,2020-03-20 04:34,2,Minor (2-5 min)
2020-03-20 04:45,2020-03-20 04:47,2,Minor (2-5 min)
2020-03-20 04:47,2020-03-20 04:49,2,Minor (2-5 min)
2020-03-20 04:49,2020-03-20 04:52,3,Minor (2-5 min)
2020-03-20 04:53,2020-03-20 05:01,8,Significant
2020-03-20 05:02,2020-03-20 05:05,3,Minor (2-5 min)
2020-03-20 05:12,2020-03-20 05:14,2,Minor (2-5 min)
2020-03-20 05:15,2020-03-20 05:17,2,Minor (2-5 min)
2020-03-20 15:14,2020-03-20 15:30,16,Settlement Window
2020-03-20 15:59,2020-03-22 17:00,2941,Weekend / Holiday
2020-03-22 17:12,2020-03-22 17:14,2,Minor (2-5 min)
2020-03-22 17:14,2020-03-22 17:17,3,Minor (2-5 min)
2020-03-22 17:21,2020-03-22 17:24,3,Minor (2-5 min)
2020-03-22 17:24,2020-03-22 17:27,3,Minor (2-5 min)
2020-03-22 17:27,2020-03-22 17:30,3,Minor (2-5 min)
2020-03-22 17:34,2020-03-22 17:39,5,Minor (2-5 min)
2020-03-22 17:40,2020-03-22 17:42,2,Minor (2-5 min)
2020-03-22 17:42,2020-03-22 17:44,2,Minor (2-5 min)
2020-03-22 17:46,2020-03-22 17:50,4,Minor (2-5 min)
2020-03-22 17:50,2020-03-22 17:52,2,Minor (2-5 min)
2020-03-22 17:54,2020-03-22 18:04,10,Significant
2020-03-22 18:06,2020-03-22 18:10,4,Minor (2-5 min)
2020-03-22 18:10,2020-03-22 18:17,7,Significant
2020-03-22 18:17,2020-03-22 18:22,5,Minor (2-5 min)
2020-03-22 18:22,2020-03-22 18:28,6,Significant
2020-03-22 18:28,2020-03-22 18:31,3,Minor (2-5 min)
2020-03-22 18:31,2020-03-22 18:35,4,Minor (2-5 min)
2020-03-23 15:14,2020-03-23 15:30,16,Settlement Window
2020-03-23 15:59,2020-03-23 17:00,61,Daily Maintenance
2020-03-24 05:06,2020-03-24 05:08,2,Minor (2-5 min)
2020-03-24 05:10,2020-03-24 05:12,2,Minor (2-5 min)
2020-03-24 05:16,2020-03-24 05:18,2,Minor (2-5 min)
2020-03-24 05:22,2020-03-24 05:26,4,Minor (2-5 min)
2020-03-24 05:29,2020-03-24 05:31,2,Minor (2-5 min)
2020-03-24 05:33,2020-03-24 05:35,2,Minor (2-5 min)
2020-03-24 05:35,2020-03-24 05:37,2,Minor (2-5 min)
2020-03-24 05:39,2020-03-24 05:42,3,Minor (2-5 min)
2020-03-24 05:43,2020-03-24 05:46,3,Minor (2-5 min)
2020-03-24 05:46,2020-03-24 05:48,2,Minor (2-5 min)
2020-03-24 05:48,2020-03-24 05:50,2,Minor (2-5 min)
2020-03-24 05:52,2020-03-24 05:56,4,Minor (2-5 min)
2020-03-24 05:57,2020-03-24 06:00,3,Minor (2-5 min)
2020-03-24 15:14,2020-03-24 15:30,16,Settlement Window
2020-03-24 15:59,2020-03-24 17:00,61,Daily Maintenance
2020-03-25 15:14,2020-03-25 15:30,16,Settlement Window
2020-03-25 15:59,2020-03-25 17:00,61,Daily Maintenance
2020-03-26 15:14,2020-03-26 15:30,16,Settlement Window
2020-03-26 15:59,2020-03-26 17:00,61,Daily Maintenance
2020-03-27 15:14,2020-03-27 15:30,16,Settlement Window
2020-03-27 15:59,2020-03-29 17:00,2941,Weekend / Holiday
2020-03-30 15:14,2020-03-30 15:30,16,Settlement Window
2020-03-30 15:59,2020-03-30 17:00,61,Daily Maintenance
2020-03-31 15:14,2020-03-31 15:30,16,Settlement Window
2020-03-31 15:59,2020-03-31 17:00,61,Daily Maintenance
2020-04-01 15:14,2020-04-01 15:30,16,Settlement Window
2020-04-01 15:59,2020-04-01 17:00,61,Daily Maintenance
2020-04-02 15:14,2020-04-02 15:30,16,Settlement Window
2020-04-02 15:59,2020-04-02 17:00,61,Daily Maintenance
2020-04-03 15:14,2020-04-03 15:30,16,Settlement Window
2020-04-03 15:59,2020-04-05 17:00,2941,Weekend / Holiday
2020-04-06 15:14,2020-04-06 15:30,16,Settlement Window
2020-04-06 15:59,2020-04-06 17:00,61,Daily Maintenance
2020-04-07 15:14,2020-04-07 15:30,16,Settlement Window
2020-04-07 15:59,2020-04-07 17:00,61,Daily Maintenance
2020-04-08 15:14,2020-04-08 15:30,16,Settlement Window
2020-04-08 15:59,2020-04-08 17:00,61,Daily Maintenance
2020-04-09 15:14,2020-04-09 15:30,16,Settlement Window
2020-04-09 15:59,2020-04-12 17:00,4381,Weekend / Holiday
2020-04-13 15:14,2020-04-13 15:30,16,Settlement Window
2020-04-13 15:59,2020-04-13 17:00,61,Daily Maintenance
2020-04-14 15:14,2020-04-14 15:30,16,Settlement Window
2020-04-14 15:59,2020-04-14 17:00,61,Daily Maintenance
2020-04-15 15:14,2020-04-15 15:30,16,Settlement Window
2020-04-15 15:59,2020-04-15 17:00,61,Daily Maintenance
2020-04-16 15:14,2020-04-16 15:30,16,Settlement Window
2020-04-16 15:59,2020-04-16 17:00,61,Daily Maintenance
2020-04-17 15:14,2020-04-17 15:30,16,Settlement Window
2020-04-17 15:59,2020-04-19 17:00,2941,Weekend / Holiday
2020-04-20 15:14,2020-04-20 15:30,16,Settlement Window
2020-04-20 15:59,2020-04-20 17:00,61,Daily Maintenance
2020-04-21 15:14,2020-04-21 15:30,16,Settlement Window
2020-04-21 15:59,2020-04-21 17:00,61,Daily Maintenance
2020-04-22 15:14,2020-04-22 15:30,16,Settlement Window
2020-04-22 15:59,2020-04-22 17:00,61,Daily Maintenance
2020-04-23 15:14,2020-04-23 15:30,16,Settlement Window
2020-04-23 15:59,2020-04-23 17:00,61,Daily Maintenance
2020-04-24 15:14,2020-04-24 15:30,16,Settlement Window
2020-04-24 15:59,2020-04-26 17:00,2941,Weekend / Holiday
2020-04-27 15:14,2020-04-27 15:30,16,Settlement Window
2020-04-27 15:59,2020-04-27 17:00,61,Daily Maintenance
2020-04-28 15:14,2020-04-28 15:30,16,Settlement Window
2020-04-28 15:59,2020-04-28 17:00,61,Daily Maintenance
2020-04-29 15:14,2020-04-29 15:30,16,Settlement Window
2020-04-29 15:59,2020-04-29 17:00,61,Daily Maintenance
2020-04-30 15:14,2020-04-30 15:30,16,Settlement Window
2020-04-30 15:59,2020-04-30 17:00,61,Daily Maintenance
2020-05-01 15:14,2020-05-01 15:30,16,Settlement Window
2020-05-01 15:59,2020-05-03 17:00,2941,Weekend / Holiday
2020-05-04 15:14,2020-05-04 15:30,16,Settlement Window
2020-05-04 15:59,2020-05-04 17:00,61,Daily Maintenance
2020-05-05 15:14,2020-05-05 15:30,16,Settlement Window
2020-05-05 15:59,2020-05-05 17:00,61,Daily Maintenance
2020-05-06 15:14,2020-05-06 15:30,16,Settlement Window
2020-05-06 15:59,2020-05-06 17:00,61,Daily Maintenance
2020-05-07 15:14,2020-05-07 15:30,16,Settlement Window
2020-05-07 15:59,2020-05-07 17:00,61,Daily Maintenance
2020-05-08 15:14,2020-05-08 15:30,16,Settlement Window
2020-05-08 15:59,2020-05-10 17:00,2941,Weekend / Holiday
2020-05-11 15:14,2020-05-11 15:30,16,Settlement Window
